m199,m99,m49,m19,m9,m5,m3,m1,p5
-38.0673916512778,-51.4955657387776,-15.4921763977232,6.35159473816202,4.77737500854935,-0.908130618820708,-3.73397472433106,1.36523569599284,-6.0643366846773
-31.8897915406397,-42.4226117356273,-14.183178513507,13.0943058715249,8.30608677580136,1.90756829576958,-1.18462217900709,2.32879203423231,-8.43301058069496
-19.3422531960359,-47.1762454674738,-8.89827038054606,20.749476944612,4.74547119658692,-1.634687693121,3.36132889573887,-0.312344107157495,-7.92587132465173
-36.1145391438488,-47.0667180871577,-13.1820285383725,2.49209409949865,-2.98765908214423,-5.14654839953721,-1.49556498264559,-3.59197840339375,-7.07057462398766
-42.5232820386935,-42.1753939152181,-7.10543273140122,5.64292179996624,-1.86102885898832,0.43380536675923,-3.35115604719313,0.543119716473092,-9.64612835422451
-44.9356438447039,-48.3253646579133,-12.7154980624388,8.26517486590782,-6.9149495586891,-6.45584059413151,-8.65470960852365,-5.45995841726735,-8.51111165044616
-42.0698739512828,-51.6536294735136,-8.14453045839581,7.52887772058526,-10.649292749159,-9.20966238398249,-5.09463786325132,-0.197787054675137,-7.31366270822357
-35.5925830085233,-51.11432776439,-14.4284420436351,6.54364315634551,-10.2379874173149,-8.60814154712038,-5.41475958661513,0.240170788115977,-10.7082207953939
-50.2934023887187,-52.5663371595993,-14.9257571607613,-0.168073504145821,-7.72681623133554,-7.60854228397368,-2.59455690844351,-2.638546516936,-4.30932164703733
-48.8200809111633,-52.2080766830668,-11.2681317841633,-7.15804845330627,-11.7210814757585,-10.6759435744395,-4.73877920082185,-2.29191694931802,0.652468299889199
-63.2601900281638,-66.0823160621991,-15.0802247797079,-10.8003908443387,-19.1336873333717,-9.30289109856439,-9.3497570486831,-4.15161576995009,-2.17794028570543
-64.994643286617,-65.749830552944,-9.60666418873123,-8.04031746725845,-17.4602619323524,-7.89076677525856,-5.37026914751732,1.09670507466602,-8.3844589719483
-73.4214816156493,-68.3639739177685,-15.4564390508966,-15.8608042021373,-17.4153233109944,-11.992392682485,-6.66862887158123,-3.5523455895671,-6.78590834993661
-57.3110650441058,-60.5146975913124,-10.7805466168218,-15.8143306936361,-13.068669714028,-4.50338708138535,1.91038329097675,4.22496118517491,-11.8569532747569
-50.2361832782239,-52.7641878669276,-20.3214623118969,-12.0048586274377,-4.26563870706525,0.648238747553811,3.55076253458398,2.7506916796005,-13.2844658883865
-61.3881971154932,-61.9242398904412,-24.0084790577218,-19.4629628792638,-11.515880154214,-2.22643061500286,0.18576187226273,-7.16516535518482,-5.19184094083192
